"feed","timestamp","type","value"
"ThreatIngestor Event: Twitter-Asyncrat","01/12/2020 00:45:11","ip-dst","193.161.193.99"
"ThreatIngestor Event: Twitter-Njrat","01/12/2020 04:30:09","ip-dst","193.161.193.99"
"ThreatIngestor Event: Twitter-Njrat","01/12/2020 05:45:08","ip-dst","193.161.193.99"
"ThreatIngestor Event: Twitter-Ursnif","01/12/2020 11:00:11","ip-dst","89.44.9.160"
"ThreatIngestor Event: Twitter-Asyncrat","01/12/2020 20:15:11","ip-dst","23.95.13.157"
"ThreatIngestor Event: Twitter-Njrat","01/12/2020 21:00:09","ip-dst","193.161.193.99"
"ThreatIngestor Event: Twitter-Njrat","02/12/2020 02:00:08","ip-dst","80.82.68.21"
"ThreatIngestor Event: Twitter-Njrat","02/12/2020 02:00:08","ip-dst","80.82.68.21"
"ThreatIngestor Event: Twitter-Njrat","02/12/2020 05:30:09","ip-dst","193.161.193.99"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 15:00:09","ip-dst","185.59.223.86"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 15:00:09","ip-dst","123.231.252.10"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 15:00:09","ip-dst","85.25.109.116"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 15:00:09","ip-dst","91.83.93.89"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 20:00:09","ip-dst","169.255.216.36"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 20:00:09","ip-dst","123.231.252.10"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 20:00:10","ip-dst","85.25.109.116"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 20:00:10","ip-dst","91.83.93.89"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 20:00:10","ip-dst","169.255.216.36"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 20:00:10","ip-dst","123.231.252.10"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 20:00:10","ip-dst","85.25.109.116"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 20:00:10","ip-dst","169.255.216.36"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 20:00:10","ip-dst","123.231.252.10"
"ThreatIngestor Event: Twitter-Njrat","02/12/2020 22:01:17","ip-dst","103.231.222.39"
