"feedname","eventname","timestamp","type","value"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:48","hostname","mc.desmine.ru"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:48","hostname","ip140.ip-178-32-145.eu"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:48","hostname","ip101.ip-51-75-58.eu"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:48","hostname","fin.ex2life.cf"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","vm1265017.ssd.had.yt"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","kelolacode2849.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","2vlc.l.time4vps.cloud"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","mianbrothers.com.pk"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","madibalohilalamb.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","blacknet.riskpi.xyz"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","h839492.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","productiondelphi.minehosting.xyz"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","iktrit485.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","vm1245456.ssd.had.yt"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","ip228.ip-51-83-209.eu"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","rathead.chickenkiller.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","nono45.ddns.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","karar.zapto.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","systemmicrosoft.linkpc.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","pitbullzowna1.ddns.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","proxy.bonch.dev"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","zeronine.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","microsoftword.serveftp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","krypticon9332.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","bandan.ddns.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","xoftdomain.kro.kr"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","rheuewuw.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","wolfsate4.hopto.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","tupacsyrian.hopto.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","greekmountains.theworkpc.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","bands33.casacam.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","astraone.casacam.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","adt-stream.casacam.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","hamboua1.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:49","hostname","mooonskj.ddns.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","vksaodyd.kro.kr"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","svr1.com.br"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","webstyle.net.au"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","mogoaw856.ddns.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","imtoxic.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","kingspy1301.ddns.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","fa1c0n3z.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","bmwe30.ddns.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","meliodas777.zapto.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","bien.airdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","novatoxic.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","system123.linkpc.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","camifer922.linkpc.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","newhacker.kro.kr"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","hhh0488.kro.kr"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","hs27772.kro.kr"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","viona589.ddns.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","argensudalimentaria.com.ar"
