"feedname","eventname","timestamp","type","value"
"CASTALDI-T","ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:55","url","http://evahollmann.de.phees.de/test/content/40.Galerien/05.im-reich-des-fauns/"
"CASTALDI-T","ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","url","http://evahollmann.de.phees.de/test/content/40.Galerien/05.im-reich-des-fauns/"
"CASTALDI-T","ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:57","url","http://evahollmann.de.phees.de/test/content/40.Galerien/05.im-reich-des-fauns/"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","27/11/2020 11:30:23","url","http://x26zc.xyz/V3/five/fre.php"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","27/11/2020 11:30:23","url","http://tradesgroups.com/wp-includes/five/fre.php"
"CASTALDI-T","ThreatIngestor Event: Twitter-Formbook","27/11/2020 11:30:24","url","http://ghost00710.ddns.net/1/"
"CASTALDI-T","ThreatIngestor Event: Twitter-Formbook","27/11/2020 11:30:24","url","http://www.w91pk.com/ggh/"
"CASTALDI-T","ThreatIngestor Event: Twitter-Formbook","27/11/2020 11:30:25","url","http://ghost00710.ddns.net/1/"
"CASTALDI-T","ThreatIngestor Event: Twitter-Formbook","27/11/2020 11:30:25","url","http://www.w91pk.com/ggh/"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","27/11/2020 11:33:06","url","https://compagniamaestro.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","27/11/2020 11:33:07","url","https://compagniamaestro.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","27/11/2020 11:33:07","url","http://212.124.124.71"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 11:41:53","url","http://167.71.224.39"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 11:41:54","url","http://astroglippers.club"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 11:41:54","url","http://billeriubin.club"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 11:41:54","url","http://pochkapechenka.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 11:41:54","url","http://68.183.54.143"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 11:41:54","url","https://app.any.run/tasks/89819e81-b694-42d2-9cd1-fa0b8e6bd9c8"
