"id","timestamp","type","value"
"4894","04/12/2020 12:00:19","ip-dst","167.71.138.137"
"4895","04/12/2020 16:45:08","ip-dst","172.105.253.97"
"4896","04/12/2020 17:30:09","ip-dst","193.161.193.99"
"4897","04/12/2020 19:15:08","ip-dst","172.105.253.97"
"4899","04/12/2020 23:15:12","ip-dst","167.71.138.137"
"4900","04/12/2020 23:30:12","ip-dst","68.183.54.143"
"4996","05/12/2020 10:15:12","ip-dst","167.71.138.137"
"4997","05/12/2020 10:15:13","ip-dst","167.71.138.137"
"4998","05/12/2020 10:15:15","ip-dst","68.183.54.143"
"5000","05/12/2020 11:30:12","ip-dst","68.183.54.143"
"5002","06/12/2020 08:00:19","ip-dst","167.71.138.137"
"5006","06/12/2020 21:00:11","ip-dst","3.1.221.201"
"5011","06/12/2020 22:30:10","ip-dst","104.168.146.103"
"5012","06/12/2020 22:45:09","ip-dst","45.134.225.18"
"5195","07/12/2020 10:15:09","ip-dst","37.46.150.178"
"5200","07/12/2020 13:30:07","ip-dst","104.131.164.93"
"5200","07/12/2020 13:30:07","ip-dst","46.101.90.205"
"5200","07/12/2020 13:30:08","ip-dst","27.254.174.84"
"5200","07/12/2020 13:30:08","ip-dst","92.94.251.127"
"5202","07/12/2020 13:30:09","ip-dst","104.131.164.93"
"5202","07/12/2020 13:30:09","ip-dst","46.101.90.205"
"5202","07/12/2020 13:30:10","ip-dst","27.254.174.84"
"5202","07/12/2020 13:30:10","ip-dst","92.94.251.127"
"5208","07/12/2020 15:45:10","ip-dst","156.96.47.3"
"5208","07/12/2020 15:45:10","ip-dst","178.134.55.190"
"5208","07/12/2020 15:45:10","ip-dst","194.5.249.71"
"5208","07/12/2020 15:45:10","ip-dst","195.123.242.207"
"5208","07/12/2020 15:45:10","ip-dst","184.95.51.178"
"5208","07/12/2020 15:45:10","ip-dst","94.158.245.90"
"5208","07/12/2020 15:45:10","ip-dst","41.243.29.182"
"5208","07/12/2020 15:45:10","ip-dst","192.3.247.125"
"5208","07/12/2020 15:45:10","ip-dst","177.221.108.198"
"5208","07/12/2020 15:45:10","ip-dst","80.242.220.146"
"5215","07/12/2020 20:00:14","ip-dst","167.71.138.137"
"5215","07/12/2020 20:00:14","ip-dst","188.166.88.45"
"5221","07/12/2020 23:30:10","ip-dst","193.218.118.85"
"5222","08/12/2020 00:15:08","ip-dst","156.96.47.3"
"5222","08/12/2020 00:15:08","ip-dst","178.134.55.190"
"5222","08/12/2020 00:15:08","ip-dst","194.5.249.71"
"5222","08/12/2020 00:15:08","ip-dst","195.123.242.207"
"5224","08/12/2020 01:00:09","ip-dst","156.96.47.3"
"5224","08/12/2020 01:00:09","ip-dst","178.134.55.190"
"5224","08/12/2020 01:00:09","ip-dst","194.5.249.71"
"5224","08/12/2020 01:00:09","ip-dst","195.123.242.207"
"5225","08/12/2020 01:45:12","ip-dst","167.71.138.137"
"5294","08/12/2020 05:45:08","ip-dst","156.96.47.3"
"5294","08/12/2020 05:45:09","ip-dst","178.134.55.190"
"5294","08/12/2020 05:45:09","ip-dst","194.5.249.71"
"5294","08/12/2020 05:45:09","ip-dst","195.123.242.207"
"5304","08/12/2020 10:15:12","ip-dst","167.71.138.137"
"5306","08/12/2020 11:00:10","ip-dst","104.131.164.93"
"5306","08/12/2020 11:00:11","ip-dst","46.101.90.205"
"5306","08/12/2020 11:00:11","ip-dst","27.254.174.84"
"5306","08/12/2020 11:00:11","ip-dst","92.94.251.127"
"5309","08/12/2020 14:15:12","ip-dst","45.153.240.101"
"5311","08/12/2020 17:00:09","ip-dst","37.46.150.41"
"5312","08/12/2020 17:00:10","ip-dst","185.239.242.219"
"5315","08/12/2020 17:15:12","ip-dst","158.101.98.57"
"5323","09/12/2020 01:00:09","ip-dst","158.101.98.57"
"5409","09/12/2020 14:00:08","ip-dst","87.106.89.36"
"5409","09/12/2020 14:00:08","ip-dst","169.255.216.36"
"5409","09/12/2020 14:00:08","ip-dst","138.201.138.91"
"5409","09/12/2020 14:00:08","ip-dst","89.174.36.41"
"5410","09/12/2020 14:00:10","ip-dst","169.255.216.36"
"5410","09/12/2020 14:00:10","ip-dst","138.201.138.91"
"5410","09/12/2020 14:00:10","ip-dst","89.174.36.41"
"5410","09/12/2020 14:00:11","ip-dst","87.106.89.36"
"5411","09/12/2020 14:00:11","ip-dst","87.106.89.36"
"5411","09/12/2020 14:00:11","ip-dst","169.255.216.36"
"5412","09/12/2020 14:15:10","ip-dst","87.106.89.36"
"5412","09/12/2020 14:15:10","ip-dst","169.255.216.36"
"5413","09/12/2020 14:15:10","ip-dst","87.106.89.36"
"5413","09/12/2020 14:15:10","ip-dst","169.255.216.36"
"5414","09/12/2020 14:15:10","ip-dst","87.106.89.36"
"5414","09/12/2020 14:15:10","ip-dst","169.255.216.36"
