"feedname","eventname","timestamp","type","value"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:53","domain","abdo00.publicvm.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:53","domain","sohaib123.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:54","domain","frifra.myq-see.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:54","domain","njrat.linkpc.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:55","domain","njrat.linkpc.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Nanocore","27/11/2020 11:14:56","domain","poseidon99.duckdns.org"
"CASTALDI-T","ThreatIngestor Event: Twitter-Nanocore","27/11/2020 11:14:57","domain","poseidon99.duckdns.org"
"CASTALDI-T","ThreatIngestor Event: Twitter-Nanocore","27/11/2020 11:14:57","domain","poseidon99.duckdns.org"
"CASTALDI-T","ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:54","domain","evahollmann.de.phees.de"
"CASTALDI-T","ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:55","domain","evahollmann.de.phees.de"
"CASTALDI-T","ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","domain","evahollmann.de.phees.de"
"CASTALDI-T","ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:57","domain","evahollmann.de.phees.de"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","27/11/2020 11:30:23","domain","x26zc.xyz"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","27/11/2020 11:30:23","domain","tradesgroups.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Formbook","27/11/2020 11:30:24","domain","ghost00710.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Formbook","27/11/2020 11:30:24","domain","www.w91pk.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Formbook","27/11/2020 11:30:25","domain","ghost00710.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Formbook","27/11/2020 11:30:25","domain","www.w91pk.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","27/11/2020 11:33:06","domain","compagniamaestro.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","27/11/2020 11:33:07","domain","compagniamaestro.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 11:41:54","domain","astroglippers.club"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 11:41:54","domain","billeriubin.club"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 11:41:54","domain","pochkapechenka.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 11:41:54","domain","app.any.run"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","28/11/2020 08:00:08","domain","cansudanismanlik.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","28/11/2020 08:00:09","domain","cansudanismanlik.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","28/11/2020 11:30:08","domain","cansudanismanlik.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","28/11/2020 13:30:08","domain","qudrlf486.codns.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","28/11/2020 17:00:08","domain","cansudanismanlik.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","28/11/2020 17:30:08","domain","qudrlf486.codns.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","28/11/2020 18:00:11","domain","cansudanismanlik.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","28/11/2020 18:45:09","domain","qudrlf486.codns.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","28/11/2020 22:45:09","domain","captin.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","28/11/2020 23:45:08","domain","captin.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","29/11/2020 22:15:08","domain","captin.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","29/11/2020 22:45:07","domain","swagdepoule.myddns.me"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","30/11/2020 01:45:08","domain","captin.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","30/11/2020 03:00:08","domain","captin.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","30/11/2020 03:45:09","domain","m7.hopto.org"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","30/11/2020 14:30:08","domain","m7.hopto.org"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","30/11/2020 16:00:08","domain","xoruf.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","30/11/2020 16:00:10","domain","onlygodem.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","01/12/2020 00:15:08","domain","qudrlf486.codns.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","01/12/2020 00:45:08","domain","captin.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","01/12/2020 01:15:08","domain","captin.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","01/12/2020 01:15:08","domain","captin.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","01/12/2020 01:30:08","domain","xoruf.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","01/12/2020 11:30:11","domain","chinotta.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","01/12/2020 11:30:11","domain","dobere.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","01/12/2020 11:30:11","domain","certjficazione.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","01/12/2020 11:30:13","domain","chinotta.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","01/12/2020 11:30:14","domain","chinotta.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","01/12/2020 11:30:14","domain","chinotta.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","01/12/2020 11:30:15","domain","chinotta.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","01/12/2020 11:30:16","domain","chinotta.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","01/12/2020 11:30:16","domain","chinotta.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","01/12/2020 12:30:10","domain","chinotta.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Asyncrat","01/12/2020 12:45:11","domain","myclient.kro.kr"
"CASTALDI-T","ThreatIngestor Event: Twitter-Ursnif","01/12/2020 13:15:10","domain","chinotta.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Reecdeep","01/12/2020 16:30:08","domain","bk.umsu.ac.id"
"CASTALDI-T","ThreatIngestor Event: Twitter-Reecdeep","01/12/2020 17:15:08","domain","www.thejrgs.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","01/12/2020 17:30:08","domain","www.thejrgs.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","01/12/2020 17:30:09","domain","www.thejrgs.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Qbot","01/12/2020 17:30:09","domain","www.thejrgs.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Asyncrat","01/12/2020 21:30:12","domain","genlast.giize.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Asyncrat","01/12/2020 21:45:10","domain","giness.giize.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Reecdeep","01/12/2020 22:00:07","domain","www.thejrgs.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","02/12/2020 23:30:09","domain","striker223.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Asyncrat","03/12/2020 00:00:11","domain","frefiredll.servehttp.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","03/12/2020 04:00:08","domain","maj.majnetgroup.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","04/12/2020 02:45:09","domain","tradesgroups.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","04/12/2020 03:00:08","domain","ddnsssaa.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","04/12/2020 03:45:09","domain","tradesgroups.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","04/12/2020 12:00:19","domain","allthemeanings.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","04/12/2020 22:15:09","domain","xoruf.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","04/12/2020 23:15:11","domain","azomorinno.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","04/12/2020 23:15:11","domain","oldaquafrsh.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","04/12/2020 23:15:11","domain","rotapetek.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","04/12/2020 23:15:12","domain","tatarinanaboskuto.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","04/12/2020 23:30:11","domain","crypetecranch.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","04/12/2020 23:30:11","domain","egedemaer.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","04/12/2020 23:30:11","domain","oxxoboats.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","04/12/2020 23:30:12","domain","proissvollio.club"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","05/12/2020 10:15:12","domain","allthemeanings.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","05/12/2020 10:15:13","domain","azomorinno.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","05/12/2020 10:15:13","domain","oldaquafrsh.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","05/12/2020 10:15:13","domain","rotapetek.cyou"
