"id","timestamp","type","value"
"13","02/07/2016 19:01:14","hostname","bog5151.zapto.org"
"13","02/07/2016 19:01:14","hostname","blackmind.redirectme.net"
"13","02/07/2016 19:01:14","hostname","albertino.no-ip.info"
"13","02/07/2016 19:01:14","hostname","adolf2013.sytes.net"
"13","02/07/2016 19:01:14","hostname","adamdam.zapto.org"
"17","15/09/2016 08:41:57","hostname","ativa3.tempsite.ws"
"17","15/09/2016 08:41:58","hostname","demo.hubliclick.in"
"17","15/09/2016 08:41:59","hostname","fpspv.beep.pl"
"17","15/09/2016 08:42:10","hostname","www.ausaf.pk"
"17","15/09/2016 08:42:11","hostname","www.draarun.com"
"18","01/09/2016 08:08:24","hostname","www.luigigiordano.org"
"18","01/09/2016 08:08:25","hostname","w07q93g5g.homepage.t-online.de"
"18","01/09/2016 08:08:26","hostname","a-tconsulting.co.uk"
"18","01/09/2016 08:08:27","hostname","aromas-naturales.50webs.com"
"18","01/09/2016 08:08:28","hostname","www.download.extraslot.ru"
"18","01/09/2016 08:08:29","hostname","stiopka.atspace.com"
"18","01/09/2016 08:08:30","hostname","sonaeyou1.web.fc2.com"
"18","01/09/2016 08:08:30","hostname","yhinas.hanagumori.com"
"18","01/09/2016 08:08:31","hostname","www.assonet.org"
"18","01/09/2016 08:08:32","hostname","simo62.web.fc2.com"
"18","01/09/2016 08:08:32","hostname","rakutenjapan.web.fc2.com"
"18","01/09/2016 08:08:33","hostname","www.avisgibellina.it"
"18","01/09/2016 08:08:33","hostname","footballsoccerdvd.web.fc2.com"
"18","01/09/2016 08:08:34","hostname","www.redanchemical.com"
"18","01/09/2016 08:08:34","hostname","www.itogazaidan.jp"
"18","01/09/2016 08:08:35","hostname","roger.pierrieau.perso.sfr.fr"
"18","01/09/2016 08:08:36","hostname","www.hotelancorariviera.com"
"18","01/09/2016 08:08:37","hostname","members.chello.at"
"18","01/09/2016 08:08:38","hostname","user22393.vs.easily.co.uk"
"18","01/09/2016 08:08:39","hostname","files.renderings.com"
"18","01/09/2016 08:08:39","hostname","www.francogatta.it"
"18","01/09/2016 08:08:40","hostname","www.engware.it"
"18","01/09/2016 08:08:40","hostname","www.themccrarys.us"
