"eventname","timestamp","type","value"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","url","http://sweetporto.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","domain","sweetporto.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","url","http://165.232.104.85"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","url","http://realisationdelimitation.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","domain","realisationdelimitation.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","ip-dst","143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","ip-dst","165.232.104.85"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","url","http://143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","url","http://futuduramatios.best"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","domain","futuduramatios.best"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","url","http://suitecasecourt.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","domain","suitecasecourt.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","url","http://sweetporto.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","domain","sweetporto.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","ip-dst","143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","url","http://143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","url","http://kamastos.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","domain","kamastos.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","url","http://kennethinstitute.xyz"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","domain","kennethinstitute.xyz"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","url","http://lowbudget.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","domain","lowbudget.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","url","http://marinesnotarmy7.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","domain","marinesnotarmy7.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","ip-dst","143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","url","http://143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","url","http://kamastos.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","domain","kamastos.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","url","http://kennethinstitute.xyz"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","domain","kennethinstitute.xyz"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","url","http://lowbudget.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","domain","lowbudget.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","ip-dst","143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","url","http://143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","url","http://kamastos.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","domain","kamastos.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","url","http://kennethinstitute.xyz"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","domain","kennethinstitute.xyz"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","url","http://lowbudget.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","domain","lowbudget.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","ip-dst","143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:25","url","http://143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:25","url","http://kamastos.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:25","domain","kamastos.cyou"
