"eventname","timestamp","type","value"
"ThreatIngestor Event: Twitter-Nanocore","27/11/2020 11:14:57","sha256","d50a35f05df59b5b35e07dd204e5312629b3670b09da6801c56f89c5aef8ff6b"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:14:58","sha256","9128e156ef2c0ed95d615729316ff82615354d6509e30a2e931913cb574dd4dc"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","sha256","08f15e4acb5af5b3095304fbfd9370d33ea57a561da66bc1239477cdc6530dc3"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","sha256","9128e156ef2c0ed95d615729316ff82615354d6509e30a2e931913cb574dd4dc"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","sha256","08f15e4acb5af5b3095304fbfd9370d33ea57a561da66bc1239477cdc6530dc3"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:54","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:54","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:54","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:54","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:55","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:55","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:55","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
